country,avggini,q1,q5
Argentina,42.56,4.93,47.89
Australia,33.10,7.34,40.58
Austria,27.50,8.78,36.50
Belgium,26.23,9.08,35.13
Bolivia,46.51,3.74,50.85
Brazil,52.34,3.50,56.93
Bulgaria,34.93,6.43,41.65
Canada,34.88,4.99,45.26
Chile,49.95,4.73,56.10
China,44.71,7.81,38.29
Colombia,51.58,3.70,56.33
Costa Rica,48.44,4.19,53.66
Croatia,30.90,7.13,38.18
Cyprus,31.85,8.37,40.40
Czech Republic,25.20,10.08,35.50
Denmark,26.42,8.86,35.59
Dominican Republic,49.43,4.14,54.57
Ecuador,45.61,4.79,51.17
Egypt,51.30,4.06,56.33
El Salvador,42.04,5.55,48.17
Estonia,32.86,7.18,40.27
Finland,25.85,9.65,35.34
France,29.99,8.78,38.92
Georgia,42.25,5.22,47.78
Germany,29.33,8.28,37.79
Greece,33.83,6.55,40.51
Guatemala,50.36,4.40,54.60
Honduras,53.55,3.15,57.68
Hungary,27.68,8.92,36.56
Iceland,24.19,10.16,34.32
India,50.30,3.88,55.32
Ireland,30.11,8.27,38.48
Israel,37.78,5.69,43.42
Italy,32.33,6.93,39.45
Latvia,35.47,6.45,42.13
Lithuania,34.92,6.67,41.88
Luxembourg,28.08,8.79,36.97
"Macedonia, former Yugoslav Republic of",37.00,4.97,42.07
Malta,27.77,8.95,36.67
Mexico,47.10,4.72,52.54
Netherlands,26.31,9.55,35.50
New Zealand,34.35,7.40,40.93
Nicaragua,46.15,4.95,52.00
Norway,23.90,9.81,33.59
Panama,50.53,3.56,54.91
Paraguay,50.84,3.78,55.37
Peru,43.59,4.81,48.87
Poland,30.95,7.90,39.18
Portugal,34.20,7.12,41.77
Romania,34.67,5.95,40.68
Russia,33.95,7.04,41.18
Serbia,36.18,5.46,41.71
Slovakia,25.51,9.23,34.71
Slovenia,24.66,9.38,34.16
South Africa,65.43,1.93,70.07
Spain,34.05,6.27,40.32
Sweden,25.38,9.20,34.03
Switzerland,29.17,8.62,37.98
Taiwan,31.25,7.72,39.26
Turkey,42.58,5.23,48.83
United Kingdom,32.68,7.77,40.11
United States,39.50,5.00,45.53
Uruguay,39.61,6.01,46.11
Venezuela,39.26,5.46,45.02
