Country,gii,giip,giirank,gini,q1,q5
Norway,0.053,5.3,6,23.9,9.81,33.59
Australia,0.12,12,24,33.1,7.34,40.58
Switzerland,0.04,4,1,29.17,8.62,37.98
Germany,0.066,6.6,9,29.33,8.28,37.79
Denmark,0.041,4.1,2,26.42,8.86,35.59
Singapore,0.068,6.8,11,#N/A,#N/A,#N/A
Netherlands,0.044,4.4,3,26.31,9.55,35.5
Ireland,0.127,12.7,26,30.11,8.27,38.48
Iceland,0.051,5.1,5,24.19,10.16,34.32
Canada,0.098,9.8,18,34.88,4.99,45.26
United States,0.203,20.3,43,39.5,5,45.53
New Zealand,0.158,15.8,34,34.35,7.4,40.93
Sweden,0.048,4.8,4,25.38,9.2,34.03
United Kingdom,0.131,13.1,28,32.68,7.77,40.11
Japan,0.116,11.6,21,#N/A,#N/A,#N/A
Korea (Republic of),0.067,6.7,10,#N/A,#N/A,#N/A
Israel,0.103,10.3,20,37.78,5.69,43.42
Luxembourg,0.075,7.5,13,28.08,8.79,36.97
France,0.102,10.2,19,29.99,8.78,38.92
Belgium,0.073,7.3,12,26.23,9.08,35.13
Finland,0.056,5.6,8,25.85,9.65,35.34
Austria,0.078,7.8,14,27.5,8.78,36.5
Slovenia,0.053,5.3,6,24.66,9.38,34.16
Italy,0.085,8.5,16,32.33,6.93,39.45
Spain,0.081,8.1,15,34.05,6.27,40.32
Czech Republic,0.129,12.9,27,25.2,10.08,35.5
Greece,0.119,11.9,23,33.83,6.55,40.51
Estonia,0.131,13.1,28,32.86,7.18,40.27
Cyprus,0.116,11.6,21,31.85,8.37,40.4
Malta,0.217,21.7,44,27.77,8.95,36.67
Qatar,0.542,54.2,127,#N/A,#N/A,#N/A
Poland,0.137,13.7,30,30.95,7.9,39.18
Lithuania,0.121,12.1,25,34.92,6.67,41.88
Chile,0.322,32.2,65,49.95,4.73,56.1
Saudi Arabia,0.257,25.7,50,#N/A,#N/A,#N/A
Slovakia,0.179,17.9,39,25.51,9.23,34.71
Portugal,0.091,9.1,17,34.2,7.12,41.77
United Arab Emirates,0.232,23.2,46,#N/A,#N/A,#N/A
Hungary,0.252,25.2,49,27.68,8.92,36.56
Latvia,0.191,19.1,41,35.47,6.45,42.13
Argentina,0.362,36.2,77,42.56,4.93,47.89
Croatia,0.141,14.1,31,30.9,7.13,38.18
Bahrain,0.233,23.3,48,#N/A,#N/A,#N/A
Montenegro,0.156,15.6,33,#N/A,#N/A,#N/A
Russian Federation,0.271,27.1,52,#N/A,#N/A,#N/A
Romania,0.339,33.9,72,34.67,5.95,40.68
Kuwait,0.335,33.5,70,#N/A,#N/A,#N/A
Belarus,0.144,14.4,32,#N/A,#N/A,#N/A
Oman,0.281,28.1,54,#N/A,#N/A,#N/A
Barbados,0.291,29.1,59,#N/A,#N/A,#N/A
Uruguay,0.284,28.4,55,39.61,6.01,46.11
Bulgaria,0.223,22.3,45,34.93,6.43,41.65
Kazakhstan,0.202,20.2,42,#N/A,#N/A,#N/A
Bahamas,0.362,36.2,77,#N/A,#N/A,#N/A
Malaysia,0.291,29.1,59,#N/A,#N/A,#N/A
Panama,0.457,45.7,100,50.53,3.56,54.91
Mauritius,0.38,38,82,#N/A,#N/A,#N/A
Trinidad and Tobago,0.324,32.4,67,#N/A,#N/A,#N/A
Costa Rica,0.308,30.8,63,48.44,4.19,53.66
Serbia,0.185,18.5,40,36.18,5.46,41.71
Cuba,0.304,30.4,62,#N/A,#N/A,#N/A
Iran (Islamic Republic of),0.509,50.9,118,#N/A,#N/A,#N/A
Georgia,0.361,36.1,76,42.25,5.22,47.78
Turkey,0.328,32.8,69,42.58,5.23,48.83
Venezuela (Bolivarian Republic of),0.461,46.1,101,#N/A,#N/A,#N/A
Sri Lanka,0.386,38.6,87,#N/A,#N/A,#N/A
Albania,0.267,26.7,51,#N/A,#N/A,#N/A
Lebanon,0.381,38.1,83,#N/A,#N/A,#N/A
Mexico,0.345,34.5,73,47.1,4.72,52.54
Azerbaijan,0.326,32.6,68,#N/A,#N/A,#N/A
Brazil,0.414,41.4,92,52.34,3.5,56.93
Bosnia and Herzegovina,0.158,15.8,34,#N/A,#N/A,#N/A
The former Yugoslav Republic of Macedonia,0.16,16,36,#N/A,#N/A,#N/A
Algeria,0.429,42.9,94,#N/A,#N/A,#N/A
Armenia,0.293,29.3,61,#N/A,#N/A,#N/A
Ukraine,0.284,28.4,55,#N/A,#N/A,#N/A
Jordan,0.478,47.8,111,#N/A,#N/A,#N/A
Peru,0.385,38.5,86,43.59,4.81,48.87
Thailand,0.366,36.6,79,#N/A,#N/A,#N/A
Ecuador,0.391,39.1,88,45.61,4.79,51.17
China,0.164,16.4,37,44.71,7.81,38.29
Fiji,0.358,35.8,75,#N/A,#N/A,#N/A
Mongolia,0.278,27.8,53,#N/A,#N/A,#N/A
Saint Lucia,0.354,35.4,74,#N/A,#N/A,#N/A
Jamaica,0.422,42.2,93,#N/A,#N/A,#N/A
Colombia,0.393,39.3,89,51.58,3.7,56.33
Suriname,0.448,44.8,99,#N/A,#N/A,#N/A
Tunisia,0.289,28.9,58,#N/A,#N/A,#N/A
Dominican Republic,0.47,47,107,49.43,4.14,54.57
Tonga,0.659,65.9,152,#N/A,#N/A,#N/A
Libya,0.167,16.7,38,#N/A,#N/A,#N/A
Belize,0.375,37.5,81,#N/A,#N/A,#N/A
Samoa,0.439,43.9,97,#N/A,#N/A,#N/A
Maldives,0.312,31.2,64,#N/A,#N/A,#N/A
Uzbekistan,0.287,28.7,57,#N/A,#N/A,#N/A
Moldova (Republic of),0.232,23.2,46,#N/A,#N/A,#N/A
