hdi_rank,country,region,hdi,gii_rep,gini,rank,mat_mort_ratio,mmr_calc,adol_birth_rate,parliament,PRf,PRm,seced_f,seced_m,Sef,Sem,labour_f,labour_m,female_index,male_index,harm,healthavg,empowermentavg,lfpravg,gfm,gii_calc,gii_rep2
0,Equality,Africa,very high,10,10,,5,,5,,,,,,,,,,90,90,,,,,,,
1,Norway,World,,5.3,23.9,6,5,10,5.9,39.6,0.396,0.604,96.1,94.6,0.961,0.946,61.2,68.5,53.77,80.3,0.6441,0.7058,0.6864,0.6485,0.6798,0.0526,0.053
2,Australia,World,,12,33.1,24,6,10,14.1,30.5,0.305,0.695,91.4,91.5,0.914,0.915,58.6,70.9,43.51,82.69,0.5702,0.6332,0.6627,0.6475,0.6477,0.1196,0.12
2,Switzerland,World,,4,29.17,1,5,10,2.9,28.9,0.289,0.711,96.1,97.4,0.961,0.974,62.7,74.8,57.89,85.38,0.69,0.7936,0.6796,0.6875,0.7184,0.0395,0.04
4,Germany,World,,6.6,29.33,9,6,10,6.7,36.9,0.369,0.631,96.4,97,0.964,0.97,54.5,66.4,50.08,80.39,0.6171,0.6932,0.6894,0.6045,0.661,0.0665,0.066
5,Denmark,World,,4.1,26.42,2,6,10,4,37.4,0.374,0.626,89.1,98.5,0.891,0.985,58,66.2,55.11,80.41,0.654,0.75,0.6813,0.621,0.6821,0.0411,0.041
7,Netherlands,World,,4.4,26.31,3,7,10,4,36.4,0.364,0.636,86.2,90.3,0.862,0.903,57.5,70.2,54.41,81.03,0.651,0.75,0.659,0.6385,0.6808,0.0438,0.044
8,Ireland,World,,12.7,30.11,26,8,10,10.4,19.9,0.199,0.801,86.8,82.2,0.868,0.822,52.4,67.8,40.72,81.94,0.5441,0.655,0.6135,0.601,0.6228,0.1264,0.127
9,Iceland,World,,5.1,24.19,5,3,10,6.1,41.3,0.413,0.587,100,97.2,1,0.972,70.7,77.5,56.87,83.65,0.6771,0.7024,0.699,0.741,0.7139,0.0515,0.051
10,Canada,World,,9.8,34.88,18,7,10,9.8,28.3,0.283,0.717,100,100,1,1,61,70.3,46.98,84.12,0.6029,0.6597,0.6894,0.6565,0.6684,0.098,0.098
10,United States,World,,20.3,39.5,43,14,14,22.6,19.5,0.195,0.805,95.4,95.1,0.954,0.951,56,68.4,35.02,84.27,0.4948,0.5889,0.6531,0.622,0.6208,0.203,0.203
13,New Zealand,World,,15.8,34.35,34,11,11,23.6,31.4,0.314,0.686,98.8,98.7,0.988,0.987,62.4,73.1,40.86,84.41,0.5507,0.5981,0.6899,0.6775,0.6539,0.1579,0.158
14,Sweden,World,,4.8,25.38,4,4,10,5.7,43.6,0.436,0.564,87.8,88.3,0.878,0.883,60.9,68.2,54.04,78.37,0.6397,0.7094,0.6622,0.6455,0.6718,0.0478,0.048
16,United Kingdom,World,,13.1,32.68,28,9,10,14.6,26.7,0.267,0.733,81.3,84.6,0.813,0.846,56.9,68.7,41.09,81.48,0.5463,0.6309,0.6267,0.628,0.6285,0.1308,0.131
19,Israel,World,,10.3,37.78,20,5,10,9.7,26.7,0.267,0.733,87.3,90.3,0.873,0.903,58.9,69.4,45.03,82.65,0.583,0.6605,0.6482,0.6415,0.65,0.1031,0.103
20,Luxembourg,World,,7.5,28.08,13,10,10,5.9,28.3,0.283,0.717,100.6,99.4,1.006,0.994,52.2,66.1,48.58,82.33,0.6111,0.7058,0.6889,0.5915,0.6601,0.0743,0.075
21,France,World,,10.2,29.99,19,8,10,8.9,25.7,0.257,0.743,79.7,85.5,0.797,0.855,50.7,60.1,42.53,78.24,0.551,0.6676,0.6248,0.554,0.6137,0.102,0.102
22,Belgium,World,,7.3,26.23,12,7,10,8.2,42.4,0.424,0.576,80.1,84.7,0.801,0.847,48.2,59.3,46.12,74.54,0.5698,0.6746,0.6406,0.5375,0.6147,0.073,0.073
23,Finland,World,,5.6,25.85,8,3,10,6.5,41.5,0.415,0.585,100,100,1,1,55,62.1,51.8,78.02,0.6226,0.6961,0.7045,0.5855,0.6597,0.0563,0.056
24,Austria,World,,7.8,27.5,14,4,10,7.1,30.3,0.303,0.697,98.7,99.2,0.987,0.992,54.7,66,48.24,81.87,0.6071,0.6876,0.6892,0.6035,0.6589,0.0786,0.078
25,Slovenia,World,,5.3,24.66,6,9,10,3.8,27.7,0.277,0.723,96.5,98.3,0.965,0.983,52.2,63,51.73,80.98,0.6313,0.7565,0.68,0.576,0.6667,0.053,0.053
26,Italy,World,,8.5,32.33,16,4,10,6,30.1,0.301,0.699,79.1,83.3,0.791,0.833,39.3,58.1,42.78,76.25,0.5481,0.7041,0.6255,0.487,0.5986,0.0844,0.085
27,Spain,World,,8.1,34.05,15,5,10,8.4,38,0.38,0.62,70.9,76.7,0.709,0.767,52.3,64.8,45.41,76.45,0.5698,0.6725,0.6043,0.5855,0.6197,0.0805,0.081
28,Czech Republic,World,,12.9,25.2,27,4,10,9.9,19.6,0.196,0.804,99.8,99.8,0.998,0.998,51.1,68.2,41.57,84.85,0.558,0.6589,0.669,0.5965,0.6407,0.129,0.129
29,Greece,World,,11.9,33.83,23,3,10,7.5,19.7,0.197,0.803,63.7,71.7,0.637,0.717,43.9,60,38.44,76.93,0.5126,0.6826,0.5565,0.5195,0.5822,0.1195,0.119
30,Estonia,World,,13.1,32.86,28,9,10,13.1,23.8,0.238,0.762,100,100,1,1,55.4,69.5,42.11,84.66,0.5624,0.6381,0.6804,0.6245,0.6472,0.131,0.131
33,Cyprus,World,,11.6,31.85,21,7,10,5,12.5,0.125,0.875,77,82.7,0.77,0.827,57.5,70.2,43.05,84.21,0.5697,0.7236,0.5805,0.6385,0.6449,0.1165,0.116
33,Malta,World,,21.7,27.77,44,9,10,16.6,12.9,0.129,0.871,72.7,81.2,0.727,0.812,38.8,66,30.78,82.18,0.4479,0.6227,0.5736,0.524,0.572,0.217,0.217
36,Poland,World,,13.7,30.95,30,3,10,13.4,24.8,0.248,0.752,81.1,86.9,0.811,0.869,49.1,65.3,39.18,80.82,0.5278,0.6366,0.6284,0.572,0.6117,0.1371,0.137
37,Lithuania,World,,12.1,34.92,25,10,10,11,23.4,0.234,0.766,91.1,95.6,0.911,0.956,53.9,65.5,42.18,82.45,0.5581,0.6508,0.6587,0.597,0.6349,0.121,0.121
38,Chile,World,,32.2,49.95,65,22,22,47.8,15.8,0.158,0.842,76.1,76.9,0.761,0.769,50.7,74.6,25.79,84.36,0.395,0.5488,0.5757,0.6265,0.5828,0.3223,0.322
40,Slovakia,World,,17.9,25.51,39,6,10,20.2,18.7,0.187,0.813,99.2,99.5,0.992,0.995,51.4,68.3,36.66,85.01,0.5122,0.6112,0.6651,0.5985,0.6243,0.1795,0.179
41,Portugal,World,,9.1,34.2,17,10,10,9.9,34.8,0.348,0.652,50.8,52.2,0.508,0.522,53.6,64.2,41.53,72.08,0.527,0.6589,0.5019,0.589,0.5797,0.0909,0.091
43,Hungary,World,,25.2,27.68,49,17,17,18,10.1,0.101,0.899,95.6,97.9,0.956,0.979,46.4,62.5,29.65,83.7,0.4379,0.5904,0.6244,0.5445,0.5855,0.2522,0.252
44,Latvia,World,,19.1,35.47,41,18,18,13.6,18,0.18,0.82,99.3,98.8,0.993,0.988,54.4,67.7,35.96,84.78,0.505,0.6011,0.6614,0.6105,0.6238,0.1905,0.191
45,Argentina,World,,36.2,42.56,77,52,52,63.8,37.1,0.371,0.629,63.5,61.4,0.635,0.614,48.4,74.5,23.45,77.36,0.3599,0.5275,0.5534,0.6145,0.564,0.3618,0.362
45,Croatia,World,,14.1,30.9,31,8,10,9.5,15.2,0.152,0.848,92,96,0.92,0.96,46.4,58.7,38.33,80.91,0.5201,0.6622,0.6381,0.5255,0.6056,0.1411,0.141
50,Romania,World,,33.9,34.67,72,31,31,34.6,12,0.12,0.88,86.1,92.2,0.861,0.922,47.6,64.9,24.54,83.61,0.3794,0.5483,0.6111,0.5625,0.5733,0.3382,0.339
54,Uruguay,World,,28.4,39.61,55,15,15,56.1,19.2,0.192,0.808,55,51.6,0.55,0.516,55.4,76.3,26.97,78.98,0.4021,0.5545,0.4853,0.6585,0.5617,0.2841,0.284
