hdi_rank,country,gii_rep,gini,rank,mat_mort_ratio,mmr_calc,adol_birth_rate,parliament,PRf,PRm,seced_f,seced_m,Sef,Sem,labour_f,labour_m,female_index,male_index,harm,healthavg,empowermentavg,lfpravg,gfm,gii_calc,gii_rep2
1,Norway,0.053,23.9,6,5,10,5.9,39.6,0.3960,0.6040,96.1,94.6,0.9610,0.9460,61.2,68.5,0.5377,0.8030,0.6441,0.7058,0.6864,0.6485,0.6798,0.0526,0.053
2,Australia,0.12,33.1,24,6,10,14.1,30.5,0.3050,0.6950,91.4,91.5,0.9140,0.9150,58.6,70.9,0.4351,0.8269,0.5702,0.6332,0.6627,0.6475,0.6477,0.1196,0.12
2,Switzerland,0.04,29.17,1,5,10,2.9,28.9,0.2890,0.7110,96.1,97.4,0.9610,0.9740,62.7,74.8,0.5789,0.8538,0.6900,0.7936,0.6796,0.6875,0.7184,0.0395,0.04
4,Germany,0.066,29.33,9,6,10,6.7,36.9,0.3690,0.6310,96.4,97,0.9640,0.9700,54.5,66.4,0.5008,0.8039,0.6171,0.6932,0.6894,0.6045,0.6610,0.0665,0.066
5,Denmark,0.041,26.42,2,6,10,4,37.4,0.3740,0.6260,89.1,98.5,0.8910,0.9850,58,66.2,0.5511,0.8041,0.6540,0.7500,0.6813,0.6210,0.6821,0.0411,0.041
5,Singapore,0.068,#N/A,11,10,10,3.8,23.9,0.2390,0.7610,75.5,81.9,0.7550,0.8190,58.2,76.4,0.5024,0.8449,0.6301,0.7565,0.6071,0.6730,0.6761,0.0680,0.068
7,Netherlands,0.044,26.31,3,7,10,4,36.4,0.3640,0.6360,86.2,90.3,0.8620,0.9030,57.5,70.2,0.5441,0.8103,0.6510,0.7500,0.6590,0.6385,0.6808,0.0438,0.044
8,Ireland,0.127,30.11,26,8,10,10.4,19.9,0.1990,0.8010,86.8,82.2,0.8680,0.8220,52.4,67.8,0.4072,0.8194,0.5441,0.6550,0.6135,0.6010,0.6228,0.1264,0.127
9,Iceland,0.051,24.19,5,3,10,6.1,41.3,0.4130,0.5870,100,97.2,1.0000,0.9720,70.7,77.5,0.5687,0.8365,0.6771,0.7024,0.6990,0.7410,0.7139,0.0515,0.051
10,Canada,0.098,34.88,18,7,10,9.8,28.3,0.2830,0.7170,100,100,1.0000,1.0000,61,70.3,0.4698,0.8412,0.6029,0.6597,0.6894,0.6565,0.6684,0.0980,0.098
10,United States,0.203,39.5,43,14,14,22.6,19.5,0.1950,0.8050,95.4,95.1,0.9540,0.9510,56,68.4,0.3502,0.8427,0.4948,0.5889,0.6531,0.6220,0.6208,0.2030,0.203
13,New Zealand,0.158,34.35,34,11,11,23.6,31.4,0.3140,0.6860,98.8,98.7,0.9880,0.9870,62.4,73.1,0.4086,0.8441,0.5507,0.5981,0.6899,0.6775,0.6539,0.1579,0.158
14,Sweden,0.048,25.38,4,4,10,5.7,43.6,0.4360,0.5640,87.8,88.3,0.8780,0.8830,60.9,68.2,0.5404,0.7837,0.6397,0.7094,0.6622,0.6455,0.6718,0.0478,0.048
16,United Kingdom,0.131,32.68,28,9,10,14.6,26.7,0.2670,0.7330,81.3,84.6,0.8130,0.8460,56.9,68.7,0.4109,0.8148,0.5463,0.6309,0.6267,0.6280,0.6285,0.1308,0.131
17,Japan,0.116,#N/A,21,5,10,4.1,11.6,0.1160,0.8840,93,90.6,0.9300,0.9060,49.1,70.2,0.4302,0.8565,0.5728,0.7469,0.6117,0.5965,0.6483,0.1166,0.116
18,Korea (Republic of),0.067,#N/A,10,11,11,1.6,16.3,0.1630,0.8370,88.8,94.6,0.8880,0.9460,50,71.8,0.5234,0.8613,0.6511,0.8769,0.6351,0.6090,0.6974,0.0664,0.067
19,Israel,0.103,37.78,20,5,10,9.7,26.7,0.2670,0.7330,87.3,90.3,0.8730,0.9030,58.9,69.4,0.4503,0.8265,0.5830,0.6605,0.6482,0.6415,0.6500,0.1031,0.103
20,Luxembourg,0.075,28.08,13,10,10,5.9,28.3,0.2830,0.7170,100.6,99.4,1.0060,0.9940,52.2,66.1,0.4858,0.8233,0.6111,0.7058,0.6889,0.5915,0.6601,0.0743,0.075
21,France,0.102,29.99,19,8,10,8.9,25.7,0.2570,0.7430,79.7,85.5,0.7970,0.8550,50.7,60.1,0.4253,0.7824,0.5510,0.6676,0.6248,0.5540,0.6137,0.1020,0.102
22,Belgium,0.073,26.23,12,7,10,8.2,42.4,0.4240,0.5760,80.1,84.7,0.8010,0.8470,48.2,59.3,0.4612,0.7454,0.5698,0.6746,0.6406,0.5375,0.6147,0.0730,0.073
23,Finland,0.056,25.85,8,3,10,6.5,41.5,0.4150,0.5850,100,100,1.0000,1.0000,55,62.1,0.5180,0.7802,0.6226,0.6961,0.7045,0.5855,0.6597,0.0563,0.056
24,Austria,0.078,27.5,14,4,10,7.1,30.3,0.3030,0.6970,98.7,99.2,0.9870,0.9920,54.7,66,0.4824,0.8187,0.6071,0.6876,0.6892,0.6035,0.6589,0.0786,0.078
25,Slovenia,0.053,24.66,6,9,10,3.8,27.7,0.2770,0.7230,96.5,98.3,0.9650,0.9830,52.2,63,0.5173,0.8098,0.6313,0.7565,0.6800,0.5760,0.6667,0.0530,0.053
26,Italy,0.085,32.33,16,4,10,6,30.1,0.3010,0.6990,79.1,83.3,0.7910,0.8330,39.3,58.1,0.4278,0.7625,0.5481,0.7041,0.6255,0.4870,0.5986,0.0844,0.085
27,Spain,0.081,34.05,15,5,10,8.4,38,0.3800,0.6200,70.9,76.7,0.7090,0.7670,52.3,64.8,0.4541,0.7645,0.5698,0.6725,0.6043,0.5855,0.6197,0.0805,0.081
28,Czech Republic,0.129,25.2,27,4,10,9.9,19.6,0.1960,0.8040,99.8,99.8,0.9980,0.9980,51.1,68.2,0.4157,0.8485,0.5580,0.6589,0.6690,0.5965,0.6407,0.1290,0.129
29,Greece,0.119,33.83,23,3,10,7.5,19.7,0.1970,0.8030,63.7,71.7,0.6370,0.7170,43.9,60,0.3844,0.7693,0.5126,0.6826,0.5565,0.5195,0.5822,0.1195,0.119
30,Estonia,0.131,32.86,28,9,10,13.1,23.8,0.2380,0.7620,100,100,1.0000,1.0000,55.4,69.5,0.4211,0.8466,0.5624,0.6381,0.6804,0.6245,0.6472,0.1310,0.131
33,Cyprus,0.116,31.85,21,7,10,5,12.5,0.1250,0.8750,77,82.7,0.7700,0.8270,57.5,70.2,0.4305,0.8421,0.5697,0.7236,0.5805,0.6385,0.6449,0.1165,0.116
33,Malta,0.217,27.77,44,9,10,16.6,12.9,0.1290,0.8710,72.7,81.2,0.7270,0.8120,38.8,66,0.3078,0.8218,0.4479,0.6227,0.5736,0.5240,0.5720,0.2170,0.217
33,Qatar,0.542,#N/A,127,13,13,10.7,0,0.0000,1.0000,70.9,67.8,0.7090,0.6780,53.6,94.2,0.0000,0.9188,#DIV/0!,0.6341,0.4117,0.7390,0.5778,#DIV/0!,0.542
36,Poland,0.137,30.95,30,3,10,13.4,24.8,0.2480,0.7520,81.1,86.9,0.8110,0.8690,49.1,65.3,0.3918,0.8082,0.5278,0.6366,0.6284,0.5720,0.6117,0.1371,0.137
37,Lithuania,0.121,34.92,25,10,10,11,23.4,0.2340,0.7660,91.1,95.6,0.9110,0.9560,53.9,65.5,0.4218,0.8245,0.5581,0.6508,0.6587,0.5970,0.6349,0.1210,0.121
