hdi_rank,country,region,gii_rep,gini,rank,mat_mort_ratio,mmr_calc,adol_birth_rate,parliament,PRf,PRm,seced_f,seced_m,Sef,Sem,labour_f,labour_m,female_index,male_index,harm,healthavg,empowermentavg,lfpravg,gfm,gii_calc,gii_rep2
1,Norway,Europe,0.053,23.9,6,5,10,5.9,39.6,0.3960,0.6040,96.1,94.6,0.9610,0.9460,61.2,68.5,0.5377,0.8030,0.6441,0.7058,0.6864,0.6485,0.6798,0.0526,0.053
2,Australia,Oceania,0.12,33.1,24,6,10,14.1,30.5,0.3050,0.6950,91.4,91.5,0.9140,0.9150,58.6,70.9,0.4351,0.8269,0.5702,0.6332,0.6627,0.6475,0.6477,0.1196,0.12
2,Switzerland,Europe,0.04,29.17,1,5,10,2.9,28.9,0.2890,0.7110,96.1,97.4,0.9610,0.9740,62.7,74.8,0.5789,0.8538,0.6900,0.7936,0.6796,0.6875,0.7184,0.0395,0.04
4,Germany,Europe,0.066,29.33,9,6,10,6.7,36.9,0.3690,0.6310,96.4,97,0.9640,0.9700,54.5,66.4,0.5008,0.8039,0.6171,0.6932,0.6894,0.6045,0.6610,0.0665,0.066
5,Denmark,Europe,0.041,26.42,2,6,10,4,37.4,0.3740,0.6260,89.1,98.5,0.8910,0.9850,58,66.2,0.5511,0.8041,0.6540,0.7500,0.6813,0.6210,0.6821,0.0411,0.041
7,Netherlands,Europe,0.044,26.31,3,7,10,4,36.4,0.3640,0.6360,86.2,90.3,0.8620,0.9030,57.5,70.2,0.5441,0.8103,0.6510,0.7500,0.6590,0.6385,0.6808,0.0438,0.044
8,Ireland,Europe,0.127,30.11,26,8,10,10.4,19.9,0.1990,0.8010,86.8,82.2,0.8680,0.8220,52.4,67.8,0.4072,0.8194,0.5441,0.6550,0.6135,0.6010,0.6228,0.1264,0.127
9,Iceland,Europe,0.051,24.19,5,3,10,6.1,41.3,0.4130,0.5870,100,97.2,1.0000,0.9720,70.7,77.5,0.5687,0.8365,0.6771,0.7024,0.6990,0.7410,0.7139,0.0515,0.051
10,Canada,Americas,0.098,34.88,18,7,10,9.8,28.3,0.2830,0.7170,100,100,1.0000,1.0000,61,70.3,0.4698,0.8412,0.6029,0.6597,0.6894,0.6565,0.6684,0.0980,0.098
10,United States,Americas,0.203,39.5,43,14,14,22.6,19.5,0.1950,0.8050,95.4,95.1,0.9540,0.9510,56,68.4,0.3502,0.8427,0.4948,0.5889,0.6531,0.6220,0.6208,0.2030,0.203
