country,avggini,q5,q1
Argentina,42.55652174,47.88695652,4.926086957
Australia,33.1,40.575,7.34
Austria,27.5,36.5,8.783333333
Belgium,26.22857143,35.13333333,9.083333333
Bolivia,46.50909091,50.85454545,3.736363636
Brazil,52.33684211,56.92526316,3.502631579
Bulgaria,34.93333333,41.65,6.433333333
Canada,34.88,45.2575,4.9875
Chile,49.95,56.1,4.73
China,44.70769231,38.29375,7.8075
Colombia,51.58333333,56.33458333,3.69875
Costa Rica,48.436,53.6625,4.1875
Croatia,30.9,38.18333333,7.133333333
Cyprus,31.85,40.4,8.366666667
Czech Republic,25.2,35.50125,10.0775
Denmark,26.42222222,35.59142857,8.861428571
Dominican Republic,49.42727273,54.56818182,4.136363636
Ecuador,45.61,51.16842105,4.794736842
Egypt,51.3,56.33,4.06
El Salvador,42.04,48.17368421,5.547368421
Estonia,32.85555556,40.26857143,7.18
Finland,25.84545455,35.33625,9.65
France,29.98888889,38.91714286,8.778571429
Georgia,42.25,47.775,5.22
Germany,29.33,37.7875,8.275
Greece,33.83333333,40.51285714,6.547142857
Guatemala,50.36,54.6,4.4
Honduras,53.54615385,57.67692308,3.146153846
Hungary,27.675,36.56285714,8.922857143
Iceland,24.18888889,34.31857143,10.16142857
India,50.3,55.32,3.88
Ireland,30.11428571,38.47666667,8.273333333
Israel,37.775,43.42,5.69
Italy,32.33333333,39.44857143,6.928571429
Latvia,35.46666667,42.13333333,6.45
Lithuania,34.91666667,41.88333333,6.666666667
Luxembourg,28.08,36.97,8.79
"Macedonia, former Yugoslav Republic of",37,42.06666667,4.966666667
Malta,27.76666667,36.66666667,8.95
Mexico,47.1,52.53642857,4.717857143
Netherlands,26.31,35.4975,9.54625
New Zealand,34.35,40.93333333,7.4
Nicaragua,46.15,52,4.95
Norway,23.9,33.58875,9.805
Panama,50.52857143,54.91380952,3.558095238
Paraguay,50.84166667,55.37416667,3.778333333
Peru,43.5875,48.87416667,4.80875
Poland,30.95,39.1825,7.89625
Portugal,34.2,41.76666667,7.116666667
Romania,34.66666667,40.68333333,5.95
Russia,33.95,41.175,7.04
Serbia,36.18,41.71,5.462
Slovakia,25.51111111,34.71428571,9.232857143
Slovenia,24.66,34.1575,9.3825
South Africa,65.43333333,70.07,1.93
Spain,34.05,40.3175,6.2675
Sweden,25.375,34.03333333,9.2
Switzerland,29.16666667,37.98,8.62
Taiwan,31.25,39.255,7.72
Turkey,42.58,48.825,5.225
United Kingdom,32.68,40.11125,7.77375
United States,39.5,45.52666667,5.003333333
Uruguay,39.60833333,46.10791667,6.00625
Venezuela,39.26,45.02,5.46
