country,avggini,q5,q1,diff
Argentina,42.55652174,47.88695652,4.926086957,47.18695652
Australia,33.1,40.575,7.34,52.085
Austria,27.5,36.5,8.783333333,54.71666667
Belgium,26.22857143,35.13333333,9.083333333,55.78333334
Bolivia,46.50909091,50.85454545,3.736363636,45.40909091
Brazil,52.33684211,56.92526316,3.502631579,39.57210526
Bulgaria,34.93333333,41.65,6.433333333,51.91666667
Canada,34.88,45.2575,4.9875,49.755
Chile,49.95,56.1,4.73,39.17
China,44.70769231,38.29375,7.8075,53.89875
Colombia,51.58333333,56.33458333,3.69875,39.96666667
Costa Rica,48.436,53.6625,4.1875,42.15
Croatia,30.9,38.18333333,7.133333333,54.68333334
Cyprus,31.85,40.4,8.366666667,51.23333333
Czech Republic,25.2,35.50125,10.0775,54.42125
Denmark,26.42222222,35.59142857,8.861428571,55.54714286
Dominican Republic,49.42727273,54.56818182,4.136363636,41.29545454
Ecuador,45.61,51.16842105,4.794736842,44.03684211
Egypt,51.3,56.33,4.06,39.61
El Salvador,42.04,48.17368421,5.547368421,46.27894737
Estonia,32.85555556,40.26857143,7.18,52.55142857
Finland,25.84545455,35.33625,9.65,55.01375
France,29.98888889,38.91714286,8.778571429,52.30428571
Georgia,42.25,47.775,5.22,47.005
Germany,29.33,37.7875,8.275,53.9375
Greece,33.83333333,40.51285714,6.547142857,52.94
Guatemala,50.36,54.6,4.4,41
Honduras,53.54615385,57.67692308,3.146153846,39.17692307
Hungary,27.675,36.56285714,8.922857143,54.51428572
Iceland,24.18888889,34.31857143,10.16142857,55.52
India,50.3,55.32,3.88,40.8
Ireland,30.11428571,38.47666667,8.273333333,53.25
Israel,37.775,43.42,5.69,50.89
Italy,32.33333333,39.44857143,6.928571429,53.62285714
Latvia,35.46666667,42.13333333,6.45,51.41666667
Lithuania,34.91666667,41.88333333,6.666666667,51.45
Luxembourg,28.08,36.97,8.79,54.24
"Macedonia, former Yugoslav Republic of",37,42.06666667,4.966666667,52.96666666
Malta,27.76666667,36.66666667,8.95,54.38333333
Mexico,47.1,52.53642857,4.717857143,42.74571429
Netherlands,26.31,35.4975,9.54625,54.95625
New Zealand,34.35,40.93333333,7.4,51.66666667
Nicaragua,46.15,52,4.95,43.05
Norway,23.9,33.58875,9.805,56.60625
Panama,50.52857143,54.91380952,3.558095238,41.52809524
Paraguay,50.84166667,55.37416667,3.778333333,40.8475
Peru,43.5875,48.87416667,4.80875,46.31708333
Poland,30.95,39.1825,7.89625,52.92125
Portugal,34.2,41.76666667,7.116666667,51.11666666
Romania,34.66666667,40.68333333,5.95,53.36666667
Russia,33.95,41.175,7.04,51.785
Serbia,36.18,41.71,5.462,52.828
Slovakia,25.51111111,34.71428571,9.232857143,56.05285715
Slovenia,24.66,34.1575,9.3825,56.46
South Africa,65.43333333,70.07,1.93,28
Spain,34.05,40.3175,6.2675,53.415
Sweden,25.375,34.03333333,9.2,56.76666667
Switzerland,29.16666667,37.98,8.62,53.4
Taiwan,31.25,39.255,7.72,53.025
Turkey,42.58,48.825,5.225,45.95
United Kingdom,32.68,40.11125,7.77375,52.115
United States,39.5,45.52666667,5.003333333,49.47
Uruguay,39.60833333,46.10791667,6.00625,47.88583333
Venezuela,39.26,45.02,5.46,49.52
